Emp_id,Age,Employment Type,GraduateOrNot,AnnualIncome,FrequentFlyer,EverTravelledAbroad,TravelInsurance
228,31,Government Sector,Yes,400000,No,No,0
229,31,Government Sector,Yes,1500000,Yes,Yes,1
230,31,Private Sector/Self Employed,Yes,500000,No,No,0
231,28,Private Sector/Self Employed,Yes,800000,No,No,0
232,26,Private Sector/Self Employed,Yes,1400000,No,Yes,1
233,32,Government Sector,Yes,800000,No,No,0
234,27,Government Sector,Yes,850000,No,No,0
235,32,Government Sector,Yes,350000,No,No,0
236,29,Private Sector/Self Employed,Yes,500000,No,No,1
237,32,Government Sector,Yes,800000,Yes,No,0
238,27,Government Sector,Yes,750000,No,No,0
239,31,Private Sector/Self Employed,Yes,1350000,No,Yes,1
240,29,Private Sector/Self Employed,Yes,1050000,No,No,0
241,28,Private Sector/Self Employed,Yes,800000,No,No,0
242,28,Private Sector/Self Employed,Yes,750000,No,No,0
243,28,Private Sector/Self Employed,Yes,1100000,No,No,0
244,25,Private Sector/Self Employed,Yes,1750000,No,Yes,1
245,28,Private Sector/Self Employed,Yes,600000,Yes,No,0
246,28,Private Sector/Self Employed,Yes,800000,No,Yes,1
247,29,Private Sector/Self Employed,Yes,500000,No,No,1
248,29,Private Sector/Self Employed,Yes,600000,Yes,No,0
249,28,Private Sector/Self Employed,Yes,1150000,No,No,0
250,35,Private Sector/Self Employed,No,800000,No,No,1
251,28,Private Sector/Self Employed,Yes,550000,No,No,0
252,25,Private Sector/Self Employed,Yes,1400000,No,Yes,0
253,32,Government Sector,Yes,350000,No,No,0
254,26,Private Sector/Self Employed,Yes,1300000,No,No,0
255,31,Private Sector/Self Employed,Yes,1250000,No,No,0
256,28,Private Sector/Self Employed,Yes,1150000,No,No,0
257,30,Private Sector/Self Employed,No,750000,No,No,1
258,31,Government Sector,No,400000,No,No,0
259,25,Private Sector/Self Employed,Yes,1400000,No,Yes,1
260,28,Private Sector/Self Employed,Yes,800000,No,No,0
261,28,Private Sector/Self Employed,Yes,650000,No,No,1
262,29,Private Sector/Self Employed,Yes,1200000,No,No,1
263,28,Private Sector/Self Employed,Yes,1200000,Yes,No,0
264,25,Private Sector/Self Employed,No,600000,Yes,No,0
265,28,Private Sector/Self Employed,Yes,700000,Yes,No,0
266,34,Private Sector/Self Employed,Yes,1300000,No,No,1
267,28,Private Sector/Self Employed,Yes,900000,Yes,No,0
268,28,Private Sector/Self Employed,Yes,600000,No,No,0
269,31,Private Sector/Self Employed,Yes,1250000,Yes,No,1
270,27,Government Sector,Yes,900000,No,No,0
271,31,Government Sector,Yes,1200000,No,No,1
272,34,Private Sector/Self Employed,No,1400000,No,Yes,1
273,34,Private Sector/Self Employed,Yes,500000,No,No,1
274,32,Government Sector,Yes,350000,No,No,0
275,28,Government Sector,Yes,300000,No,No,0
276,33,Government Sector,Yes,1000000,No,No,0
277,28,Private Sector/Self Employed,Yes,800000,No,No,0
278,31,Government Sector,Yes,400000,No,No,0
279,27,Government Sector,Yes,850000,No,No,0
280,25,Private Sector/Self Employed,No,600000,No,No,0
281,31,Private Sector/Self Employed,Yes,1350000,No,Yes,1
282,28,Private Sector/Self Employed,Yes,900000,No,No,0
283,27,Private Sector/Self Employed,No,600000,No,No,0
284,26,Private Sector/Self Employed,Yes,450000,No,No,1
285,34,Private Sector/Self Employed,Yes,700000,Yes,No,1
286,30,Private Sector/Self Employed,No,800000,No,No,0
287,34,Private Sector/Self Employed,Yes,1050000,No,No,1
288,28,Private Sector/Self Employed,Yes,1250000,No,No,0
289,32,Government Sector,Yes,350000,No,No,0
290,26,Private Sector/Self Employed,Yes,1250000,No,No,0
291,28,Private Sector/Self Employed,Yes,750000,Yes,No,0
292,26,Private Sector/Self Employed,Yes,1300000,No,No,0
293,35,Private Sector/Self Employed,No,800000,Yes,No,1
294,25,Private Sector/Self Employed,No,1700000,Yes,No,0
295,25,Government Sector,Yes,750000,No,No,0
296,28,Government Sector,Yes,300000,No,No,1
297,28,Private Sector/Self Employed,Yes,500000,No,No,1
298,28,Private Sector/Self Employed,Yes,650000,No,No,0
299,26,Government Sector,Yes,500000,No,No,0
300,26,Private Sector/Self Employed,Yes,1400000,No,Yes,1
301,27,Government Sector,Yes,900000,No,No,0
302,30,Private Sector/Self Employed,No,650000,No,Yes,0
303,28,Private Sector/Self Employed,Yes,800000,No,Yes,0
304,34,Private Sector/Self Employed,No,1300000,No,No,0
305,33,Government Sector,Yes,1100000,No,No,0
306,25,Private Sector/Self Employed,Yes,1400000,Yes,Yes,1
307,34,Private Sector/Self Employed,Yes,1000000,No,No,1
308,29,Private Sector/Self Employed,Yes,1150000,Yes,No,0
309,25,Private Sector/Self Employed,No,1350000,No,Yes,1
310,30,Private Sector/Self Employed,No,1450000,Yes,Yes,1
311,27,Government Sector,Yes,1050000,No,No,1
312,31,Private Sector/Self Employed,Yes,1400000,No,Yes,1
313,28,Private Sector/Self Employed,Yes,600000,No,No,1
314,28,Private Sector/Self Employed,Yes,1100000,No,No,0
315,32,Government Sector,Yes,900000,Yes,No,0
316,29,Private Sector/Self Employed,Yes,1150000,No,Yes,0
317,25,Private Sector/Self Employed,No,1150000,No,No,1
318,31,Government Sector,No,350000,No,No,0
319,29,Private Sector/Self Employed,Yes,1350000,No,Yes,1
320,25,Private Sector/Self Employed,No,1700000,Yes,No,0
321,28,Private Sector/Self Employed,Yes,1200000,Yes,No,0
322,27,Private Sector/Self Employed,No,450000,No,No,0
323,28,Private Sector/Self Employed,Yes,750000,No,No,0
324,26,Private Sector/Self Employed,Yes,1400000,Yes,Yes,1
325,27,Government Sector,Yes,850000,No,Yes,0
326,33,Government Sector,Yes,1100000,No,No,0
327,34,Private Sector/Self Employed,Yes,1050000,No,No,1
328,28,Private Sector/Self Employed,Yes,800000,No,No,0
329,26,Private Sector/Self Employed,Yes,1500000,Yes,Yes,0
330,31,Private Sector/Self Employed,Yes,1250000,No,No,0
331,35,Private Sector/Self Employed,No,800000,No,No,0
332,28,Private Sector/Self Employed,Yes,1200000,No,No,0
333,28,Private Sector/Self Employed,Yes,1200000,No,No,0
334,30,Private Sector/Self Employed,No,650000,No,No,0
335,31,Private Sector/Self Employed,Yes,1100000,Yes,No,0
336,31,Private Sector/Self Employed,Yes,1250000,No,No,0
337,34,Government Sector,Yes,1300000,No,No,1
338,34,Private Sector/Self Employed,Yes,1300000,No,No,0
339,34,Private Sector/Self Employed,Yes,1000000,No,No,0
340,34,Private Sector/Self Employed,Yes,1000000,No,No,0
341,29,Private Sector/Self Employed,Yes,900000,Yes,No,0
342,31,Government Sector,Yes,1200000,No,No,0
343,28,Private Sector/Self Employed,Yes,1250000,No,No,0
344,31,Government Sector,Yes,1200000,No,No,0
345,34,Private Sector/Self Employed,Yes,1300000,No,No,0
346,30,Private Sector/Self Employed,No,550000,No,No,0
347,26,Private Sector/Self Employed,Yes,1500000,Yes,Yes,1
348,30,Private Sector/Self Employed,No,500000,No,No,0
349,29,Private Sector/Self Employed,Yes,600000,No,No,0
350,26,Private Sector/Self Employed,Yes,1250000,No,No,0
351,27,Private Sector/Self Employed,No,350000,No,No,0
352,35,Private Sector/Self Employed,No,800000,No,No,1
353,33,Government Sector,Yes,400000,No,No,0
354,26,Private Sector/Self Employed,Yes,750000,No,No,0
355,27,Government Sector,Yes,500000,No,No,0
356,28,Private Sector/Self Employed,Yes,1150000,No,No,0
357,31,Government Sector,No,350000,No,No,0
358,27,Government Sector,Yes,1050000,Yes,No,1
359,34,Government Sector,Yes,1300000,No,No,1
360,28,Private Sector/Self Employed,Yes,1150000,No,No,0
361,34,Private Sector/Self Employed,Yes,1000000,No,No,1
362,28,Government Sector,Yes,300000,No,No,0
363,29,Private Sector/Self Employed,Yes,1350000,No,Yes,1
364,28,Private Sector/Self Employed,Yes,1400000,No,Yes,1
365,28,Government Sector,Yes,1200000,No,No,0
366,34,Private Sector/Self Employed,Yes,1500000,Yes,Yes,1
367,34,Government Sector,Yes,1300000,No,Yes,1
368,33,Private Sector/Self Employed,Yes,550000,No,No,1
369,29,Private Sector/Self Employed,Yes,900000,Yes,No,0
370,33,Government Sector,Yes,400000,No,No,1
371,26,Private Sector/Self Employed,Yes,1400000,No,Yes,1
372,28,Private Sector/Self Employed,Yes,1100000,No,No,1
373,26,Private Sector/Self Employed,Yes,750000,No,No,0
374,35,Private Sector/Self Employed,No,800000,No,No,0
375,29,Private Sector/Self Employed,Yes,350000,No,No,0
376,27,Government Sector,Yes,850000,Yes,No,0
377,31,Government Sector,Yes,400000,No,No,0
378,33,Government Sector,Yes,1100000,No,No,1
379,34,Private Sector/Self Employed,Yes,500000,No,No,1
380,27,Private Sector/Self Employed,No,800000,No,No,0
381,34,Government Sector,Yes,1300000,No,Yes,1
382,35,Government Sector,Yes,900000,No,No,0
383,28,Private Sector/Self Employed,Yes,700000,No,No,0
384,34,Private Sector/Self Employed,Yes,1000000,Yes,No,1
385,32,Government Sector,Yes,850000,No,No,1
386,26,Private Sector/Self Employed,Yes,1400000,No,Yes,1
387,29,Private Sector/Self Employed,Yes,1050000,No,No,0
388,31,Private Sector/Self Employed,Yes,950000,Yes,No,0
389,32,Government Sector,Yes,800000,No,No,1
390,32,Government Sector,Yes,350000,No,No,0
391,32,Government Sector,Yes,800000,Yes,No,0
392,26,Private Sector/Self Employed,Yes,750000,No,No,0
393,26,Private Sector/Self Employed,Yes,1400000,No,Yes,1
394,26,Private Sector/Self Employed,Yes,600000,Yes,No,0
395,28,Private Sector/Self Employed,Yes,750000,No,No,1
396,33,Private Sector/Self Employed,Yes,750000,No,No,0
397,28,Private Sector/Self Employed,Yes,600000,No,No,0
398,29,Private Sector/Self Employed,Yes,1200000,No,No,0
399,29,Private Sector/Self Employed,Yes,1100000,No,No,0
400,26,Private Sector/Self Employed,Yes,500000,No,No,0
401,32,Government Sector,Yes,900000,No,No,0
402,34,Private Sector/Self Employed,Yes,1300000,Yes,No,0
403,27,Government Sector,Yes,850000,No,No,0
404,31,Private Sector/Self Employed,Yes,1250000,No,No,1
405,29,Private Sector/Self Employed,Yes,1200000,No,No,0
406,28,Private Sector/Self Employed,Yes,550000,No,No,0
407,32,Government Sector,Yes,350000,No,No,0
408,35,Private Sector/Self Employed,No,800000,No,No,1
409,25,Private Sector/Self Employed,No,1700000,Yes,No,1
410,27,Private Sector/Self Employed,No,450000,No,No,0
411,32,Government Sector,Yes,900000,No,No,1
412,27,Government Sector,Yes,850000,No,No,0
413,34,Private Sector/Self Employed,Yes,700000,No,No,1
414,31,Government Sector,No,300000,No,No,0
415,34,Private Sector/Self Employed,Yes,1050000,No,No,0
416,26,Private Sector/Self Employed,Yes,1250000,No,Yes,0
417,33,Government Sector,Yes,650000,No,No,1
418,28,Private Sector/Self Employed,Yes,1150000,No,No,0
419,34,Private Sector/Self Employed,Yes,1000000,No,No,0
420,33,Government Sector,Yes,650000,No,No,1
421,30,Private Sector/Self Employed,No,550000,No,No,0
422,34,Private Sector/Self Employed,Yes,1500000,Yes,Yes,1
423,32,Government Sector,Yes,850000,No,No,0
424,25,Private Sector/Self Employed,No,1150000,No,No,1
425,26,Private Sector/Self Employed,Yes,1400000,No,Yes,1
426,28,Government Sector,Yes,300000,No,No,0
427,31,Private Sector/Self Employed,Yes,950000,No,No,0
428,32,Government Sector,Yes,800000,No,No,1
429,34,Government Sector,Yes,1100000,No,No,1
430,25,Private Sector/Self Employed,Yes,1700000,Yes,No,1
431,35,Private Sector/Self Employed,No,800000,No,No,0
432,28,Private Sector/Self Employed,Yes,500000,No,No,0
433,28,Private Sector/Self Employed,Yes,750000,No,No,0
434,33,Private Sector/Self Employed,Yes,1400000,No,Yes,1
435,28,Government Sector,Yes,300000,No,No,0
436,31,Private Sector/Self Employed,Yes,1250000,No,No,0
437,28,Private Sector/Self Employed,Yes,1150000,No,No,0
438,34,Government Sector,Yes,1300000,No,No,0
439,34,Private Sector/Self Employed,Yes,700000,Yes,Yes,1
440,28,Private Sector/Self Employed,Yes,1100000,No,No,0
441,35,Private Sector/Self Employed,No,800000,No,No,0
442,33,Private Sector/Self Employed,Yes,550000,No,No,1
443,31,Private Sector/Self Employed,Yes,1650000,Yes,No,1
444,31,Private Sector/Self Employed,Yes,1400000,No,Yes,0
445,29,Private Sector/Self Employed,Yes,1050000,No,No,1
446,28,Private Sector/Self Employed,Yes,800000,No,No,1
447,32,Government Sector,Yes,350000,No,No,0
448,30,Private Sector/Self Employed,No,550000,Yes,No,0
449,28,Private Sector/Self Employed,Yes,600000,No,No,0
450,29,Private Sector/Self Employed,Yes,1050000,No,No,0
451,27,Private Sector/Self Employed,No,800000,No,No,0
452,28,Private Sector/Self Employed,Yes,550000,No,No,0
453,28,Private Sector/Self Employed,Yes,1100000,No,No,1
454,28,Private Sector/Self Employed,Yes,1250000,No,No,0
455,32,Government Sector,Yes,800000,Yes,Yes,0
456,29,Private Sector/Self Employed,Yes,1200000,No,Yes,0
457,25,Private Sector/Self Employed,Yes,1800000,Yes,No,1
458,34,Private Sector/Self Employed,Yes,1300000,Yes,No,0
459,31,Private Sector/Self Employed,Yes,1400000,No,Yes,0
460,28,Private Sector/Self Employed,Yes,500000,No,No,0
461,31,Private Sector/Self Employed,Yes,950000,Yes,Yes,0
462,29,Private Sector/Self Employed,Yes,1200000,Yes,No,0
463,31,Private Sector/Self Employed,Yes,1350000,No,Yes,1
464,31,Government Sector,No,300000,No,No,0
465,25,Private Sector/Self Employed,No,1150000,No,No,1
466,28,Private Sector/Self Employed,Yes,1400000,No,Yes,1
467,34,Private Sector/Self Employed,Yes,1000000,No,No,0
468,34,Private Sector/Self Employed,Yes,500000,No,No,0
469,34,Private Sector/Self Employed,Yes,1000000,Yes,No,0
470,25,Private Sector/Self Employed,No,1150000,No,No,0
471,28,Private Sector/Self Employed,No,550000,No,No,0
472,29,Private Sector/Self Employed,Yes,1350000,No,Yes,1
473,28,Private Sector/Self Employed,Yes,700000,No,No,0
474,34,Government Sector,Yes,1300000,No,No,0
475,31,Government Sector,Yes,1200000,No,No,0
476,25,Private Sector/Self Employed,No,1700000,Yes,No,1
477,28,Government Sector,Yes,300000,No,No,0
478,31,Government Sector,Yes,1300000,No,No,0
479,35,Private Sector/Self Employed,No,800000,No,No,1
480,32,Government Sector,Yes,800000,No,No,0
481,31,Government Sector,Yes,1300000,No,No,1
482,27,Government Sector,Yes,900000,No,Yes,0
483,29,Private Sector/Self Employed,Yes,350000,No,No,0
484,28,Private Sector/Self Employed,Yes,900000,Yes,No,0
485,28,Government Sector,Yes,600000,No,No,0
486,28,Private Sector/Self Employed,Yes,1100000,No,No,0
487,31,Government Sector,Yes,1300000,No,No,0
488,27,Private Sector/Self Employed,No,1550000,Yes,No,1
489,25,Private Sector/Self Employed,Yes,1700000,Yes,No,1
490,27,Private Sector/Self Employed,No,1550000,Yes,No,1
491,28,Private Sector/Self Employed,Yes,1200000,No,No,0
492,29,Private Sector/Self Employed,Yes,1200000,No,No,0
493,31,Private Sector/Self Employed,Yes,1400000,No,Yes,1
494,29,Private Sector/Self Employed,Yes,1100000,No,No,0
495,33,Government Sector,Yes,600000,No,Yes,0
496,34,Private Sector/Self Employed,Yes,1000000,No,No,0
497,28,Private Sector/Self Employed,Yes,1350000,No,Yes,1
498,28,Government Sector,Yes,300000,No,No,0
499,28,Private Sector/Self Employed,Yes,550000,No,No,0
500,31,Private Sector/Self Employed,Yes,1350000,No,Yes,1
501,33,Private Sector/Self Employed,Yes,550000,No,No,1
502,28,Government Sector,Yes,1200000,No,No,1
503,31,Private Sector/Self Employed,Yes,950000,No,No,1
504,29,Private Sector/Self Employed,Yes,1050000,Yes,No,0
505,28,Private Sector/Self Employed,Yes,1200000,No,No,1
506,32,Government Sector,Yes,800000,No,No,0
507,33,Government Sector,Yes,650000,No,No,1
508,25,Government Sector,Yes,750000,No,No,0
509,28,Private Sector/Self Employed,Yes,1250000,Yes,No,0
510,35,Private Sector/Self Employed,No,800000,No,No,0
511,29,Private Sector/Self Employed,Yes,1200000,Yes,No,0
512,34,Private Sector/Self Employed,Yes,700000,No,No,0
513,31,Private Sector/Self Employed,Yes,1250000,No,No,0
514,28,Private Sector/Self Employed,Yes,800000,No,No,0
515,33,Government Sector,Yes,650000,No,No,1
516,32,Government Sector,Yes,850000,No,No,0
517,28,Private Sector/Self Employed,Yes,1200000,No,No,1
518,25,Private Sector/Self Employed,No,1700000,Yes,No,1
519,31,Government Sector,No,350000,No,No,0
520,28,Private Sector/Self Employed,Yes,700000,No,No,0
521,28,Private Sector/Self Employed,No,550000,No,No,0
522,28,Government Sector,Yes,600000,No,No,0
523,28,Government Sector,Yes,300000,No,No,0
524,25,Private Sector/Self Employed,Yes,1700000,Yes,No,1
525,33,Private Sector/Self Employed,Yes,1400000,No,Yes,1
526,28,Government Sector,Yes,600000,No,No,0
527,31,Private Sector/Self Employed,Yes,1400000,No,Yes,1
528,31,Private Sector/Self Employed,Yes,1400000,Yes,Yes,1
529,34,Private Sector/Self Employed,Yes,1000000,No,No,0
530,25,Private Sector/Self Employed,No,1150000,No,No,0
531,34,Private Sector/Self Employed,Yes,1050000,No,No,0
532,28,Government Sector,Yes,300000,No,No,0
533,34,Private Sector/Self Employed,Yes,1500000,Yes,Yes,1
534,25,Private Sector/Self Employed,Yes,1400000,No,Yes,1
535,29,Private Sector/Self Employed,Yes,1100000,Yes,No,1
536,29,Private Sector/Self Employed,Yes,350000,No,No,0
537,25,Private Sector/Self Employed,Yes,500000,No,No,0
538,25,Private Sector/Self Employed,Yes,1400000,Yes,Yes,1
539,28,Private Sector/Self Employed,Yes,700000,No,No,0
540,32,Government Sector,Yes,350000,No,No,0
541,26,Private Sector/Self Employed,Yes,1300000,No,No,1
542,28,Private Sector/Self Employed,Yes,500000,No,No,0
543,34,Private Sector/Self Employed,Yes,500000,No,No,0
544,28,Private Sector/Self Employed,Yes,1100000,No,No,0
545,34,Private Sector/Self Employed,Yes,1300000,No,No,1
546,34,Private Sector/Self Employed,Yes,1500000,Yes,Yes,1
547,28,Private Sector/Self Employed,Yes,1200000,No,Yes,0
548,27,Private Sector/Self Employed,No,800000,No,No,0
549,33,Government Sector,Yes,400000,No,No,0
550,28,Private Sector/Self Employed,Yes,800000,No,No,0
551,34,Private Sector/Self Employed,Yes,1000000,No,No,1
552,34,Private Sector/Self Employed,Yes,850000,No,No,1
553,29,Private Sector/Self Employed,Yes,1100000,No,No,0
554,25,Private Sector/Self Employed,No,1150000,No,No,1
555,28,Private Sector/Self Employed,Yes,700000,No,No,1
556,27,Government Sector,Yes,1050000,No,No,0
557,28,Private Sector/Self Employed,Yes,700000,No,No,0
558,29,Private Sector/Self Employed,Yes,500000,No,No,0
559,33,Private Sector/Self Employed,Yes,1500000,Yes,Yes,1
560,31,Private Sector/Self Employed,Yes,500000,No,No,1
561,31,Private Sector/Self Employed,Yes,1250000,No,Yes,0
562,28,Private Sector/Self Employed,Yes,800000,No,No,0
563,34,Private Sector/Self Employed,Yes,1300000,No,No,1
564,31,Private Sector/Self Employed,Yes,1100000,No,No,0
565,28,Government Sector,Yes,300000,No,No,0
566,35,Government Sector,Yes,1100000,No,No,0
567,26,Private Sector/Self Employed,Yes,1500000,Yes,Yes,1
568,25,Private Sector/Self Employed,No,1150000,No,No,0
569,26,Private Sector/Self Employed,Yes,750000,No,No,0
570,34,Private Sector/Self Employed,Yes,1500000,Yes,Yes,1
571,25,Private Sector/Self Employed,No,1350000,No,Yes,1
572,35,Government Sector,Yes,900000,No,No,1
573,26,Private Sector/Self Employed,Yes,1250000,No,No,0
574,33,Private Sector/Self Employed,Yes,750000,No,No,0
575,34,Private Sector/Self Employed,Yes,1500000,Yes,Yes,1
576,26,Private Sector/Self Employed,Yes,1500000,Yes,Yes,1
577,28,Private Sector/Self Employed,Yes,550000,No,No,0
578,26,Government Sector,Yes,500000,No,No,0
579,28,Private Sector/Self Employed,Yes,1200000,No,No,0
580,25,Private Sector/Self Employed,No,1700000,Yes,No,1
581,28,Private Sector/Self Employed,Yes,1300000,No,No,0
582,26,Private Sector/Self Employed,Yes,1250000,No,No,0
583,28,Government Sector,Yes,300000,No,No,0
584,25,Private Sector/Self Employed,Yes,1400000,No,Yes,1
585,31,Private Sector/Self Employed,Yes,1100000,Yes,No,0
586,34,Private Sector/Self Employed,Yes,1000000,No,No,1
587,33,Private Sector/Self Employed,Yes,1400000,No,Yes,1
588,34,Private Sector/Self Employed,Yes,1500000,Yes,Yes,1
589,29,Private Sector/Self Employed,Yes,900000,No,No,0
590,34,Government Sector,Yes,1300000,No,No,0
591,34,Private Sector/Self Employed,Yes,1050000,Yes,No,1
592,29,Private Sector/Self Employed,Yes,1100000,No,No,0
593,32,Government Sector,Yes,850000,No,No,0
594,28,Private Sector/Self Employed,Yes,1150000,No,No,0
595,33,Government Sector,Yes,800000,No,No,1
596,27,Private Sector/Self Employed,No,450000,No,No,0
597,33,Private Sector/Self Employed,Yes,550000,Yes,No,0
598,34,Private Sector/Self Employed,Yes,850000,No,No,1
